CustomerID,AveMonthSpend
11000,85
11001,114
11003,50
11004,95
11005,75
11006,49
11007,131
11008,83
11009,79
11010,54
11011,143
11012,53
11013,84
11014,52
11015,45
11016,66
11017,47
11018,58
11019,61
11020,64
11021,40
11022,68
11023,78
11024,81
11026,64
11027,68
11028,44
11030,51
11031,41
11032,43
11033,57
11034,46
11035,55
11036,48
11037,43
11038,44
11039,73
11040,67
11041,45
11042,49
11044,70
11045,71
11046,47
11047,47
11048,71
11049,47
11051,60
11052,47
11053,54
11054,42
11055,73
11056,42
11057,88
11058,84
11059,50
11060,87
11061,83
11063,42
11064,68
11065,51
11066,56
11067,66
11068,52
11069,49
11070,87
11071,55
11072,53
11073,45
11074,76
11075,49
11076,74
11077,53
11078,47
11079,87
11080,92
11081,83
11082,64
11083,69
11084,75
11085,47
11086,94
11087,69
11088,104
11089,60
11091,89
11092,75
11093,56
11094,71
11095,71
11096,83
11097,77
11098,48
11099,82
11100,47
11101,51
11102,93
11104,87
11105,53
11107,57
11108,52
11109,78
11111,48
11112,51
11113,143
11115,140
11116,135
11118,74
11119,58
11120,45
11121,134
11122,135
11123,136
11125,52
11126,73
11127,46
11128,43
11130,46
11131,47
11132,41
11133,39
11134,55
11135,65
11136,40
11137,48
11138,50
11139,36
11140,63
11141,48
11142,68
11143,67
11144,65
11145,43
11146,37
11147,74
11148,68
11149,68
11150,65
11151,46
11152,65
11153,48
11154,45
11155,72
11156,39
11157,44
11158,65
11159,46
11160,67
11161,46
11162,67
11163,73
11164,55
11165,48
11167,55
11168,75
11169,143
11170,91
11171,79
11172,58
11173,53
11174,104
11175,71
11176,146
11178,122
11179,93
11181,132
11182,47
11183,46
11184,46
11185,48
11186,43
11187,58
11188,56
11190,76
11191,49
11193,77
11194,54
11195,54
11196,73
11197,60
11198,51
11199,59
11200,93
11201,61
11202,54
11203,85
11204,52
11205,51
11206,90
11207,58
11208,58
11210,87
11211,62
11212,55
11213,51
11215,59
11216,59
11218,60
11219,102
11220,62
11221,107
11222,62
11223,56
11224,58
11225,59
11226,57
11228,64
11229,95
11230,70
11231,88
11233,108
11234,57
11235,104
11236,95
11237,131
11238,82
11239,96
11240,93
11241,72
11242,153
11243,90
11244,82
11245,154
11246,92
11247,94
11248,151
11249,97
11250,99
11252,65
11253,70
11254,68
11255,67
11256,46
11257,58
11258,102
11259,69
11261,83
19201,76
11263,98
11264,146
11265,106
11266,56
11267,109
11268,79
11269,126
11270,123
11271,54
11272,71
11273,95
11274,66
11275,46
11276,91
11277,136
11278,83
11279,60
11279,54
11280,81
11281,73
11282,149
11283,145
11284,84
11285,134
11286,92
11287,139
11288,90
11289,94
11290,90
11292,120
11293,74
11294,80
11295,47
11296,45
11297,68
11299,75
11300,143
11302,123
11304,89
11305,137
11306,136
11307,83
11308,78
11309,46
11311,52
11312,51
11313,80
11314,47
11315,52
11316,83
11317,48
11318,51
11319,52
11321,75
19636,48
11323,124
11324,77
11325,67
11326,126
11327,84
11328,83
11329,73
11330,139
11331,91
11332,44
11333,50
11334,43
11335,44
11336,73
11337,64
11338,75
11340,38
11342,76
11343,65
11345,40
11346,44
11347,64
11348,64
11349,48
11350,43
11351,38
11352,56
11354,43
11355,66
11356,56
11357,61
11358,39
11359,61
11361,52
11362,67
11364,45
11366,42
11367,67
11368,70
11369,52
11370,47
11371,38
11372,40
11373,43
11374,64
11375,65
11376,71
11377,76
11378,46
11380,63
11381,39
11382,66
11383,52
11384,48
11386,54
11388,81
11389,68
11390,47
11391,56
11392,84
11393,80
11394,77
11395,46
11396,87
11397,40
11398,71
11399,47
11400,74
11401,48
11402,55
11403,53
11404,38
11405,41
11407,65
11408,76
11410,85
11411,112
11412,66
11413,68
11414,104
11415,73
11416,59
11417,58
11418,76
11419,148
11420,125
11421,93
11422,153
11425,70
11426,153
11427,102
11428,96
11429,96
11430,58
11431,164
11432,70
11434,162
11435,81
11436,104
11438,110
11439,67
11440,88
11441,49
11442,79
11443,47
11444,48
11445,48
11446,53
11447,50
11448,80
11449,87
11450,154
11451,73
11452,50
11453,81
11454,50
11455,153
11456,168
11457,59
11458,102
11460,87
11461,75
11462,106
11463,106
11464,86
11465,83
11466,167
11467,170
11468,55
11470,58
11471,44
11472,105
11473,37
11474,54
11475,67
11477,60
11478,71
11480,60
11481,60
11482,40
11483,80
11484,93
11486,42
11488,55
11489,36
11490,53
11491,64
11492,65
11493,62
11494,85
11495,87
18498,83
11497,53
11498,98
11499,108
11500,45
11501,63
11502,119
11503,61
11504,39
11506,76
11507,47
11509,48
11510,79
11511,73
11512,35
11514,73
11515,50
11516,46
11517,45
11518,72
11519,72
11520,53
11522,82
11523,71
11524,48
11525,50
11527,50
11528,48
11529,74
11530,74
11531,53
11532,53
11532,44
11533,46
11534,77
11535,80
11536,80
11537,85
11538,46
11539,76
11540,79
11541,80
11542,67
11543,54
11544,73
11545,79
11546,54
11547,52
11548,66
11549,47
11550,41
11551,80
11552,71
11553,52
11554,30
11555,38
11556,78
11557,51
11558,80
11559,85
11560,52
11561,71
11562,77
11563,66
11564,71
11565,82
11566,44
11567,50
11568,55
11569,88
11570,51
11571,94
11572,82
11573,50
11574,51
11575,78
11577,57
11578,56
11579,89
11580,68
11581,41
11582,59
11583,54
11585,48
11586,73
11587,95
11588,64
11589,48
11590,57
11591,61
11592,63
11593,61
11594,90
11595,111
11596,74
11597,65
11598,64
11599,46
11600,43
11601,64
11602,64
11603,67
11604,66
11605,40
11606,42
11608,59
11609,61
11610,64
11611,63
11612,54
11613,51
11614,46
11615,85
11616,51
11617,77
11618,83
11619,50
11621,40
11622,79
11623,46
11624,68
11625,80
11627,84
11628,42
11629,118
11630,51
11631,97
11632,60
11633,85
11634,83
11635,87
11636,51
11637,45
11640,50
11641,91
11643,61
11644,95
11645,51
11647,91
11648,76
11649,81
11650,85
11651,54
11652,86
11653,50
11654,53
11655,49
11656,55
11657,56
11658,87
11659,77
11660,54
11661,77
11662,74
11663,84
11664,47
11665,53
11666,81
11667,106
11668,56
11669,58
11671,73
11672,125
11673,68
11674,53
11675,74
11676,83
11677,75
11678,84
11679,151
11680,103
11681,95
15782,57
11683,86
11684,74
11685,75
11686,70
11687,71
11688,80
11689,131
11690,48
11691,49
11692,72
11693,79
11694,128
11695,154
11696,69
11697,103
11698,100
11699,104
11700,99
11701,117
11702,65
11703,41
11704,69
11705,64
11706,111
11707,65
11708,72
11709,72
11710,65
11712,55
11713,82
11714,48
11715,46
11716,94
11717,80
11718,53
11719,98
11722,80
11723,76
11724,67
11725,70
11726,71
11727,79
11728,77
11729,84
11730,50
11731,49
11732,81
11734,82
11735,60
11736,87
11737,80
11739,87
11804,49
11741,59
11743,77
11744,47
11745,51
11746,73
11748,135
11750,76
11751,97
11752,98
11753,91
11754,57
11755,114
11756,68
11757,152
11758,163
11760,96
11761,145
11762,158
11763,165
11764,95
11766,53
11767,51
11768,85
11769,41
11770,66
11772,76
11773,74
11774,53
11775,38
11776,78
11778,50
11779,46
11780,50
11781,96
11782,63
11783,63
11784,90
11785,87
11787,74
11789,50
11790,87
11791,82
11792,62
11793,92
11794,57
11795,62
11796,58
11797,91
11798,95
11800,52
11801,84
11802,53
11804,49
11805,84
11806,52
11808,81
11809,116
11810,74
11811,45
11812,77
11813,50
11814,87
11815,55
11816,88
11817,46
11820,50
11821,87
11822,57
11823,60
11824,56
11825,50
11826,64
11827,52
11828,99
11829,97
11830,58
11831,91
11832,49
11833,133
11834,123
11835,119
11836,134
11837,84
11838,123
11839,77
11840,85
11841,79
11842,118
11843,74
11844,75
11845,34
11846,54
11847,55
11848,107
11849,57
11850,62
11851,56
11852,104
11853,49
11854,108
11855,110
11856,110
11857,72
11858,97
11859,84
11860,60
11862,58
11863,53
11864,54
11865,51
