AveMonthSpend,Age,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
85,31,Bachelors ,Professional,M,M,1,0,0,2,124135
114,32,Bachelors ,Professional,M,S,0,1,3,3,89591
50,29,Bachelors ,Professional,F,S,0,1,0,0,87577
95,29,Bachelors ,Professional,F,S,1,4,5,5,106853
75,32,Bachelors ,Professional,M,S,1,1,0,0,94028
49,32,Bachelors ,Professional,F,S,1,1,0,0,75005
131,33,Bachelors ,Professional,M,M,1,2,3,3,106841
83,33,Bachelors ,Professional,F,S,1,3,4,4,92916
79,33,Bachelors ,Professional,M,S,0,1,0,0,103500
54,33,Bachelors ,Professional,F,S,0,1,0,0,70615
143,34,Bachelors ,Professional,M,M,1,4,4,4,103632
53,29,Bachelors ,Management,F,M,1,2,0,2,101752
84,29,Bachelors ,Management,M,M,1,3,0,2,125127
52,29,Bachelors ,Management,F,S,0,3,0,3,102881
45,18,Partial College,Skilled Manual,F,S,0,1,0,0,52550
66,18,Partial College,Skilled Manual,M,M,1,1,0,0,53393
47,53,High School,Skilled Manual,F,S,1,2,0,4,25210
58,53,Partial College,Clerical,M,S,1,2,0,2,39935
61,19,High School,Skilled Manual,M,S,0,2,0,0,44999
64,19,High School,Skilled Manual,M,S,0,2,0,0,38305
40,19,Partial College,Skilled Manual,F,S,0,1,0,0,46849
68,19,Partial College,Skilled Manual,M,M,1,1,0,0,67595
78,19,Partial College,Skilled Manual,M,M,1,1,0,0,56100
81,19,Partial College,Skilled Manual,M,M,1,2,0,0,89677
64,51,Partial College,Clerical,M,S,0,2,0,2,53882
68,51,Partial College,Clerical,M,M,1,2,0,2,46683
44,51,Partial College,Clerical,F,M,1,2,0,2,48514
51,50,Partial High School,Clerical,F,M,1,2,1,2,29126
41,50,High School,Skilled Manual,F,M,1,2,0,4,29522
43,50,High School,Skilled Manual,F,M,1,2,0,4,23054
57,50,High School,Skilled Manual,M,M,1,2,0,4,24385
